Company Symbol,Market Cap,Authorized Shares,Outstanding Shares,Par Value,SEC Filings,Address,Website,Phone,Email,Audited Financials,Latest Report,Fiscal Year End,Company Officers,BOARD OF DIRECTORS,Employees
AGTX,1420373,50000000,40066931,0.001,12/31/2023,"32932 Pacific Coast Highway #14-254 Dana Point, CA 92629",www.agentixcorp.com,(949) 933-5411,info@agentixcorp.com,Audited,12/31/2023,3/31,"Thomas E. Puzzo (Counsel), Accounts Payable (Other), Salman Hoda (Treasurer, Secretary, CEO)","Salman Hoda, Rehan Huda",3 as of 08/03/2022
AGVNF,,,,,,,,,,,,,,,
AGVTF,,,,,,,,,,,,,,,
AGXKF,87052330,,114392024,,,33 St. James's Square London SW1Y 4JS United Kingdom,www.angloasianmining.com,+44 (0)20 3709 5000,amir.vaziri@aimc.az,Audited,,12/31,,,
AGXPF,45080674,Unlimited,200358553,,,"Suite 1012 - 1030 West Georgia St. Vancouver, BC V6E 2Y3 Canada",silverxmining.com,+1 6472596901,info@silverxmining.com,Audited,03/31/2024 Quarterly Report,12/31,"Jose M. Garcia (CEO), Sebastian Wahl (VP, Corp. Dev.), Jason Tong (CFO), Danica Topolewski (Asst. Secretary)","Darryl Cardey, Jose M. Garcia, Francis Johnstone, Sebastian Wahl",300 as of 04/23/2024
AGXRW,1333,13333324,13333324,,,"500 College Road East Suite 310 Princeton, NJ 08540",agiletherapeutics.com,(609) 683-1880,scoiante@agiletherapeutics.com,Audited,03/31/2024,12/31,"Alfred F Altomari (CEO), Scott M Coiante (CFO), Paul Korner (CMO), Amy Welsh (Chief Commercial Officer), Geoffrey P Gilmore (General Counsel, Company Secretary, Chief Admin. Officer), Robert G Conway (Other)","Alfred F Altomari, Sharon Barbari, Sandra Ann Carson, Seth H.Z. Fischer, John Hubbard, Josephine M Torrente",18 as of 04/22/2024
AGXTF,106577800,,113200000,,,124 Sloane Street London SW1X 9BW United Kingdom,www.argentex.com,+44 (0)203 772 0300,investorrelations@argentex.com,,,3/31,,,
AGXXF,256439027,95686204,95686204,0.02,,"1 New Hampshire Ave, Suite 340 Portsmouth, NH 03801",www.agilyx.com,+1 503-217-3160,info@agilyx.com,Audited,12/31/2023 Annual Report,12/31,"Timothy Stedman (CEO), Russell Main (CFO), Mark Barranco (Senior VP), Frank McAndrew (VP, Corp. Fin.), Stephen Hamlet (VP, Human Rel.), Carsten Larsen (CCO), Chris Faulkner (CTO), Melanie Burger (Director, Comm.)","Ranjeet Bhatia, Peter Norris, Carolyn Clarke, Catherine Keenan, Steen Jakobsen",121 as of 03/22/2023
AGYP,281282,300000000,108185292,0.001,,"P.O. Box 354, 1821 N Lake Forest Drive, McKinney, TX 75071",www.alliedengycorp.com,+1 972-632-2393,info@alliedengycorp.com,Unaudited,03/31/2024 Quarterly Report,12/31,"George Arthur John Monteith (President, Treasurer)",George Arthur John Monteith,1 as of 06/13/2023
AGYTF,12783800,,639190000,,,Dominion Way Worthing West Sussex BN14 8SA United Kingdom,www.allergytherapeutics.com,+44 (0)1903 844700,,Unaudited,,6/30,,,
AGYYF,,,1873540000,,,"111 Eagle Street, Brisbane, QL 4000 Australia",www.armourenergy.com.au,+61 7 3303 0634,info@armourenergy.com.au,Audited,,6/30,,,
AGZNF,,,,,,31 Viltanioti Str. Athens Greece,en.aegeanair.com,"+30 210 6261700,",,Audited,,12/31,,,
AHAG,711,,7110336,0.03,,"11990 San Vicente Blvd. Ste. 350 Los Angeles, CA 90049",www.alphatgi.com,310 566 4005,JPolak@Wakefield.com,,07/25/2004,,Lawrence Butler (President),,
AHAHF,35991226,,1400436809,,,"147 Front Street Suite 216 Brooklyn, NY 11201",www.ahalife.com,13472799164,stuart@ahalife.com,Audited,,6/30,Shauna Mei (CEO),,25 as of 04/29/2016
AHCD,,,,,,,,,,,,,,,
AHCHF,8123600000,,3532000000,,,No 1011 South JiuHua Road WuHu City Anhui Province Wuhu 241000 China,www.conch.cn/en/index.aspx,0086 553 3114546,cement@conch.cn,Audited,,12/31,"Ji Qinying (CEO), Zhang Yujun (President)",Geng Liang,
AHCHY,2916302400,,1299600000,,,No 1011 South JiuHua Road WuHu City Anhui Province Wuhu 241000 China,www.conch.cn/en/index.aspx,0086 553 3114546,cement@conch.cn,Audited,,12/31,"Ji Qinying (CEO), Zhang Yujun (President)",Geng Liang,
AHELF,420608,,2474166,,,"1090 West Georgia Street, Suite 1305 Vancouver, BC V6E 3V7 Canada",www.americanhelium.com,604-685-9316,info@americanhelium.com,Audited,06/30/2019 Annual Report,6/30,"Craig Auringer (CEO), Nick DeMare (Interim CFO), Arabella Smith (Administrator), Betty-Lou May Moody (Executive Assistant)","Craig Auringer, Nick DeMare, Lawrence Pemble",
AHEXF,5754414674,,162096188,,,Rue des Fontenailles 16 Lausanne CH-1007 Switzerland,www.adecco.com,+41-1-878-88-88,,Audited,,12/31,"Patrick De Maeseneire (CEO), Dominik de Daniel (CFO), Karin Selfors-Thomann (Head of IR)",Rolf Dorig,"33,000 as of 02/12/2013"
AHEXY,5922994710,,162096188,,,Rue des Fontenailles 16 Lausanne CH-1007 Switzerland,www.adecco.com,+41-1-878-88-88,,Audited,,12/31,"Patrick De Maeseneire (CEO), Dominik de Daniel (CFO), Karin Selfors-Thomann (Head of IR)",Rolf Dorig,"33,000 as of 02/12/2013"
AHFCF,17322963,,30933863,,,"1 Adelaide Street East Toronto, ON M5C2V9 Canada",flowcap.com,+1 416-777-0383,Gaurav@flowcap.com,Audited,,12/31,"Eric Tremblay (CEO), Larry Titley (CFO)",,
AHFD,797263,20000000000,7972626372,0.001,,"1350 Wooten Lake Road STE 208 Kennesaw, GA 30144",etrnlcosmetics.com,6785147316,Joe@etrnlcosmetics.com,,06/30/2022 Quarterly Report,12/31,Scott Joseph Wallace (President),Robert Boyar,25 as of 06/01/2022
AHFI,84111,100000000,84111021,0.001,,"50 west Liberty Street, Suite 880 reno, NV 89501",www.ahfimerger.com,+1 212-371-7799,info@ahfimerger.com,,06/30/2022 Quarterly Report,12/31,"Jinfa Zhang (CEO, CFO), John B. Lowy (Counsel)",Jinfa Zhang,1 as of 09/01/2021
AHGHF,40662000,Unlimited,203310000,,,,althea.life,,,Audited,,6/30,,,
AHGIF,9148,Unlimited,91484212,,,"2536 Lincoln Blvd. Venice, CA 90291",alternatehealth.com,416.607.5757,info@alternatehealth.com,Audited,09/30/2019 Interim Financial Report,12/31,"Howard Mann (CEO), Dr. Robert Blaine (President), Chris Boling (CFO), Scott Holtby (VP, Corp. Comm.)","Dr. Michael L. Murphy, Dr. Robert Blaine, Kyle Kemper, Howard Mann, James E. Tykoliz, Leigh Valentine",20 as of 02/18/2020
AHHLF,436864797,,36254340,,,,,,,,,3/31,,,
AHICF,,,,,,"3-100 Akatsuki-cho, Seto-shi Aichi 489-0071 Japan",,+81 5 6148 5551,,,,6/30,,,
AHII,1599,500000000,999556,0.001,08/25/2020,"Tivoli Village 410 South Rampart Blvd. Las Vegas, NV 89145",www.americanheritageonline.com,(888) 745-4338,IR@americanheritageonline.com,Audited,09/30/2014,12/31,"Anthony Richard Sarvucci (CEO), Joseph Isaacs (President, CEO, CFO), Kim Sue Halvorson (CFO)",Joseph Isaacs,1 as of 06/30/2012
AHIX,23864165,2299821989,1645804476,0.001,,"4801 South University Drive Suite 227 Fort Lauderdale, FL 33328",www.aluf.com,+1 866-793-1110,info@aluf.com,Unaudited,03/31/2024 Quarterly Report,12/31,"Teresa McWilliams (CFO, Secretary)","Donald C. Bennett, Lisa Marks-Canty",2 as of 02/01/2024
AHKSF,8949043645,,1393932032,,,"1-1-2 Yurakucho, Chiyoda-ku Tokyo Japan",www.asahi-kasei.co.jp,+81 3-6699-3008,,Unaudited,,3/31,Toshio Asano (President),Taketsugu Fujiwara,"25,016 as of 05/31/2011"
AHKSY,9081467188,,1393932032,,,"1-1-2 Yurakucho, Chiyoda-ku Tokyo Japan",www.asahi-kasei.co.jp,+81 3-6699-3008,,Unaudited,,3/31,Toshio Asano (President),Taketsugu Fujiwara,"25,016 as of 05/31/2011"
AHLAS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLBS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLCS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLD,,,,,,,,,,,,,,,
AHLES,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLFS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLGS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLHS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLJS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLKS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLLS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLMS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLNS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLOS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLPS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLQS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLRS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLSS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLTS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHLUS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHNR,5770581,250000000,172823633,0.0001,06/01/2024,"2010 A Harbison Drive # 312 Vacaville, CA 95687",athenagoldcorp.com,(707) 291-6198,johnpower@athenagoldcorp.com,Audited,03/31/2024,12/31,"John C. Power (President, CEO), Tyler Minnick (CFO), Clifford L. Neuman (Securities Counsel)","John E. Hiner, Brian Edward Power, John C. Power",1 as of 01/01/2021
AHODF,28845600000,1923515827,952000000,0.01,,Provincialeweg 11 Zaandam 1506 MA Netherlands,www.aholddelhaize.com,+31 0886599209,investor.relations@aholddelhaize.com,Audited,03/31/2024 Quarterly Report,12/31,"Peter Agnefjall (Chairman of the Supervisory Board), Frans Muller (CEO, President), Jolanda Poots-Bijl (CFO), Rogier Beerendonk (IR), Isabelle M Meltzer (IR Manager), Elvira V Bos (Other), Yiwen Xu (Other), Rachel E Greta Luijn (Other), Mariana Celio Rojas (Other)",Bill Mc Ewan,"402,000 as of 02/28/2024"
AHOTF,29705682,Unlimited,79215151,,,"925 West Georgia Street Suite 810 Vancouver, BC V6C 3L2 Canada",www.ahipreit.com,+1 604-630-3134,info@ahipreit.com,Audited,03/31/2024 Quarterly Report,12/31,"Jonathan Korol (CEO), Bruce Pittet (COO), Travis Beatty (CFO), Stephanie Di Li (VP, Fin.), Rachel Ying Long Kwok (Executive Assistant)","Matthew Cervino, Stephen Evans, Amy Freedman, Mahmood Khimji, Tamara Lawson, Charles van der Lee, Michael Murphy, John O'Neill",17 as of 05/16/2024
AHPIQ,401,,4013537,,07/12/2023,"55 Monroe St. Suite 2350 Chicago, IL 60603",www.alliedphi.com,(312) 254-0880,,Audited,06/30/2022,6/30,"Earl R. Refsland (President, CEO), Daniel C. Dunn (CFO, Secretary)",,
AHRO,896029,2500000000,2240073721,,12/31/2023,"50 Division Street Suite 501 Somerville, NJ 08876",www.globalfibertechnologies.com,732-695-4389,chrisg@ecotek360.com,Audited,12/31/2023,12/31,"Chris Giordano (President, Treasurer), Paul Serbiak (CEO), Peter Vazquez (Secretary)","Chris Giordano, Paul Serbiak, Scott Todd",3 as of 11/06/2019
AHRT,213126130,,19552856,,06/12/2024,"18191 Von Karman Avenue Suite 300 Irvine, CA 92612",www.americanhealthcarereit.com,(949) 270-9200,investorrelations@ahcreit.com,Audited,03/31/2024,12/31,,,
AHTR,2046276804,,186704088,,,"18191 Von Karman Avenue Suite 300 Irvine, CA 92612",www.americanhealthcarereit.com,(949) 270-9200,investorrelations@ahcreit.com,Audited,03/31/2024,12/31,,,
AHVAS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHVBS,,,,,,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHVCS,,,,,,,,,,Audited,,12/31,,,
AHVDS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,12/31,,,
AHWSF,,,,,,156 Oropou St. Athens Galatsi 111-46 Greece,www.eydap.gr,30-1-2144444,,Audited,,12/31,,,
AIABF,472251500,,2777950000,,,,,,,,,12/31,"Aireen Omar (Manager, Corporate Finance)",,
AIAD,269551,10000000000,1347752861,,05/21/2024,"321 Sixth Street San Antonio, TX 78215",www.aiadvertising.com,(805) 964-3313,info@aiadvertising.com,Audited,03/21/2024 8K Report,12/31,"Jerry Hug (CEO), John Cota Small (CFO), Kevin Myers (Chief Marketing Officer, Chief Prod. Officer)","Jerry Hug, Rich Berliner, Mark Fruehan, Thomas Hicks, Jr., Kevin Myers, Jim Renacci",31 as of 10/23/2023
AIAGF,3761079195,,44956720,,,Hovestrasse 50 Hamburg 20539 Germany,www.aurubis.com,49 40 7883-0,info@aurubis.com,Audited,,9/30,"Peter Willbrandt (CEO), Erwin Faust (CFO)",Peter Willbrandt,"6,289 as of 03/31/2012"
AIAGY,3593700000,,45000000,,,Hovestrasse 50 Hamburg 20539 Germany,www.aurubis.com,49 40 7883-0,info@aurubis.com,Audited,,9/30,"Peter Willbrandt (CEO), Erwin Faust (CFO)",Peter Willbrandt,"6,289 as of 03/31/2012"
AIAPD,1884168000,,439200000,,,"2nd Floor, 81-87 High Holborn London, ENG WC1V 6DF United Kingdom",www.ascential.com,+44 (0)207 046 1014,rory.elliott@ascential.com,Audited,,12/31,,,
AIBAF,41971731,,3612025,,03/31/2024,"875 Third Avenue Suite M204A New York, NY 10022",,(212) 380-8128,,Audited,03/31/2024,12/31,,,
AIBGY,,,,,,Bankcentre PO Box 452 Dublin 4 Ireland,group.aib.ie,+ 353 1 660 0311,,Audited,,12/31,,,
AIBRF,,,,,,Bankcentre PO Box 452 Dublin 4 Ireland,group.aib.ie,+ 353 1 660 0311,,Audited,,12/31,,,
AICAF,2326968330,,4562683000,,,"1st Floor - 9th Floor 101, Building 1 30 Tianzhu Road Beijing 101312 China",www.airchina.com.cn,+86 10-6146 2560,ir@airchina.com,Audited,,12/31,"Cai Jianjiang (President, Executive Director), Fan Cheng (Vice President, Executive Director)",Li Jiaxiang,
AICHF,,,,,,,,,,,,,,,
AICLY,,,,,,"3-100 Akatsuki-cho, Seto-shi Aichi 489-0071 Japan",,+81 5 6148 5551,,,,6/30,,,
AICOF,9324534,Unlimited,71782402,,,"Unit 1010 ,12471 Horseshoe Way Richmond, BC V7A 4X6 Canada",www.genai-solutions.com,+1 406-879-7632,info@genai-solutions.com,Audited,01/31/2024 Annual Report,1/31,"Ryan Selby (CEO, Executive Director), Patrick Gray (COO), Paul Ciullo (CFO, Company Secretary), Emily Davis (Other)","Aaron Bowden, Jordan John Crockett",2 as of 04/19/2023
AICXF,,,,,,,,,,,,,,,
AIDA,5400,,27000000,0.001,,31 Dingjiang Road Jianggan District Hangzhou 310016 China,,86-0571-85802712,,,09/30/2008,12/31,,Jin Biao,
AIDG,,500000000,20000000,0.0001,12/31/2023,"2-41-7-336, Shinsakae Naka-ku Nagoya-shi Aichi 460-0007 Japan",81-50-5327-4459,,,Audited,12/31/2023,3/31,,,
AIFLF,734848395,,240933900,,,"381-1 Takasago-cho, Gojo-Agaru Karasuma-Dori Kyoto 600-8420 Japan",www.ir-aiful.com/english,075-201-2000,ir@aiful.co.jp,Audited,,3/31,"Yoshitaka Fukuda (President, CEO), Yoshinobu Takaishi (Principal Fin. Officer)",,"1,484 as of 09/30/2012"
AIFLY,679433649,,240933918,,,"381-1 Takasago-cho, Gojo-Agaru Karasuma-Dori Kyoto 600-8420 Japan",www.ir-aiful.com/english,075-201-2000,ir@aiful.co.jp,Audited,,3/31,"Yoshitaka Fukuda (President, CEO), Yoshinobu Takaishi (Principal Fin. Officer)",,"1,484 as of 09/30/2012"
AIFM,139,75000000,692997,,,"Unit 503, 5F Silvercord Tower 2 30 Canton Road, TST Kowloon, HK China",aifarm.co,+86 (852) 91235575,,Audited,01/21/2020 8K Report,12/31,Philip K. H. Chan (CFO),,
AIFS,7912428,12000000,4681910,0.01,05/17/2004,"15218 Summit Ave Ste 300 Box 240 Fontana, CA 92336",www.auto-graphics.com,+1 909-595-7004,rbs@auto-graphics.com,Audited,03/31/2024 Quarterly Report,12/31,"Paul R. Cope (President), Cheryl Slinkard (COO), Albert Flores (VP, Sales & Mktg.), Bryan Straight (Controller)","Paul R. Cope, Garry Heath, W. Brent Hicks, Ken Kerr, Kyle Murphy",31 as of 11/01/2023
AIGFF,4317951,Unlimited,62943885,,,"750 - 1620 Dickson Ave. Kelowna, BC V1Y 9Y2 Canada",www.genesisaicorp.com,+1 2508686553,info@genesisaicorp.com,Audited,03/31/2024 Interim Financial Report,6/30,"Devinder Randhawa (CEO), Ryan Cheung (CFO), Monita Franziska Faris (Corporate Secretary), Geoff Fawkes (CTO), Suzanne Neufeld (Administrator), Jeremy Polmear (Controller)","Devinder Randhawa, James Ramsey Bannerman, Jordan Potts",0 as of 06/11/2024
AIGI,2118,1500000000,21178017,0.001,,"4055 Wilshire Blvd Suite 512 Los Angeles, CA 90010",www.artistmss.com,213-365-1880,artistmssusa@gmail.com,,06/30/2012 Quarterly Report,12/30,"George Kim (President), Sung Jung (Admin. Officer, Assistant Corporate Secretary, Chief Retail Officer, Chief Marketing Officer)",,
AIHLF,427420140,,174457200,,,,,,,,,,,,
AIHZF,,,56590410,,,"12-8 Nihonbashi Hisamatsucho, Chuo-ku, Tokyo 103-000 Japan",https://www.aiholdings.co.jp/en/,813-3249-6335,,,,"
6/30",,,
AIIXY,,,,,,Dornkaulstr 2 Herzogenrath 52134 Germany,http://www.aixtron.com/,49 (2407) 9030-0,info@aixtron.com,"
Audited",,31-Dec,"Martin Goetzeler
(CEO, President, Acting CFO), Kim Schindelhauer(CEO, President), Bernd Schulte(COO, EVP)",Martin Goetzeler,713 as of 09/30/2016
AIJTY,9589815,1000000000,422458800,0.0001,12/31/2023,"5F Times Cyber Building, 19 South Haidia Road Haidian District Beijing 100080 China",http://jianpu.ai/,861083000000,luliting@rong360.com,"
Audited",12/31/2023,31-Dec,"Daqing Ye(CEO), Yilyu Chen(CFO), Caofeng Liu(CTO), Liting Lu(IR), Taoran Liao(IR)","Yilyu Chen, Ting Bun Lee, Kuang-Yu Liao, Caofeng Liu, Jiayan Lu, Daqing Ye, Xiaoyan Zhang",393 as of 12/31/2023
AIKCF,,,,,,,,,,,,,,,
AIKO,117827,1600000000,3927581,0.001,,"408 Boonesville Bend Argyle, TX 76226",http://www.belisarianholdings.com/,+1 574-710-5677,dilangonzalez@belisarianholdings.com,Unaudited,03/31/2024 Quarterly Report,30-Sep,"Dilan Gonzalez
(President), Cade Carter
(Consultant)",Dilan Gonzalez,2 as of 01/22/2024
AILIH,2916948,,45224,,5/9/2024,"10 Richard Mark Way Collinsville, IL 62234",http://www.amerenillinois.com/,(618) 343-8150,InvestorRelations@ameren.com,Audited,3/31/2024,31-Dec,"Richard J. Mark
(President), Martin J. Lyons, Jr.
(CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D.Nelson, Gregory L. Nelson",
AILIM,1394891,,18429,,05/09/2024,"10 Richard Mark Way Collinsville, IL 62234",www.AmerenIllinois.com,(618) 343-8150,InvestorRelations@ameren.com,Audited,03/31/2024,12/31,"Richard J. Mark (President), Martin J. Lyons, Jr. (CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D. Nelson, Gregory L. Nelson",
AILIN,1134110,,16190,,05/09/2024,"10 Richard Mark Way Collinsville, IL 62234",www.AmerenIllinois.com,(618) 343-8150,InvestorRelations@ameren.com,Audited,03/31/2024,12/31,"Richard J. Mark (President), Martin J. Lyons, Jr. (CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D. Nelson, Gregory L. Nelson",
AILIO,1180091,,16621,,05/09/2024,"10 Richard Mark Way Collinsville, IL 62234",www.AmerenIllinois.com,(618) 343-8150,InvestorRelations@ameren.com,Audited,03/31/2024,12/31,"Richard J. Mark (President), Martin J. Lyons, Jr. (CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D. Nelson, Gregory L. Nelson",
AILIP,1586068,,23655,,05/09/2024,"10 Richard Mark Way Collinsville, IL 62234",www.AmerenIllinois.com,(618) 343-8150,InvestorRelations@ameren.com,Audited,03/31/2024,12/31,"Richard J. Mark (President), Martin J. Lyons, Jr. (CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D. Nelson, Gregory L. Nelson",
AILLI,4175000,,50000,100.0,05/09/2024,"10 Richard Mark Way Collinsville, IL 62234",www.AmerenIllinois.com,(618) 343-8150,InvestorRelations@ameren.com,Audited,03/31/2024,12/31,"Richard J. Mark (President), Martin J. Lyons, Jr. (CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D. Nelson, Gregory L. Nelson",
AILLM,3869187,,49289,100.0,05/09/2024,"10 Richard Mark Way Collinsville, IL 62234",www.AmerenIllinois.com,(618) 343-8150,InvestorRelations@ameren.com,Audited,03/31/2024,12/31,"Richard J. Mark (President), Martin J. Lyons, Jr. (CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D. Nelson, Gregory L. Nelson",
AILLN,5902500,,75000,100.0,05/09/2024,"10 Richard Mark Way Collinsville, IL 62234",www.AmerenIllinois.com,(618) 343-8150,InvestorRelations@ameren.com,Audited,03/31/2024,12/31,"Richard J. Mark (President), Martin J. Lyons, Jr. (CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D. Nelson, Gregory L. Nelson",
AILLO,3400000,,50000,,05/09/2024,"10 Richard Mark Way Collinsville, IL 62234",www.AmerenIllinois.com,(618) 343-8150,InvestorRelations@ameren.com,Audited,03/31/2024,12/31,"Richard J. Mark (President), Martin J. Lyons, Jr. (CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D. Nelson, Gregory L. Nelson",
AILLP,9305738,,144275,100.0,05/09/2024,"10 Richard Mark Way Collinsville, IL 62234",www.AmerenIllinois.com,(618) 343-8150,InvestorRelations@ameren.com,Audited,03/31/2024,12/31,"Richard J. Mark (President), Martin J. Lyons, Jr. (CFO)","Richard J. Mark, Daniel F. Cole, Martin J. Lyons, Jr., Craig D. Nelson, Gregory L. Nelson",
AILQF,8440177,,29377574,,,"1815 Ironstone Manor Unit 10 Pickering, ON L1W 3W9 Canada",www.airiq.com,905-831-6444,,,,,"Don Gibbs (President, CEO), Michael Robb (CFO)",,
AILTF,,200000000,64915595,,,,www.argent.co.za,,,Audited,,3/31,,,
AIMFF,198362432,999999999,99679614,,06/30/2022,"176 Yonge Street Toronto, ON M5C 2L7 Canada",www.aimia.com,647-208-2166,IRandMedia@aimia.com,Audited,,12/31,"Philip Mittleman (CEO), Michael Lehmann (President), Chris Mittleman (Chief Inv. Officer), Steven Leonard (CFO), Tom Tran (Director, Inv. Rel.), Edouard Vo-Quang (General Counsel, Secretary)","David Rosenkratz, Karen Basian, Sandra Hanington, Michael Lehmann, Chris Mittleman, Philip Mittleman, Jordan G. Teramo",
AIMH,13345,500000000,133445698,0.001,07/31/2020,"9350 Wilshire Bl. Suite 203 Beverly Hills, CA 90212",www.aimriteholdingscorp.com,+1 3104870080,info@aimriteholdingscorp.com,Unaudited,09/30/2022 Quarterly Report,12/31,"Adam Sexton (President, CEO, Treasurer), Russell Lee White (President, Chief Accounting Officer), Ronald Joseph Stauber (Counsel)","Adam Sexton, Russell Lee White",2 as of 09/07/2018
AIMLF,2584081,Unlimited,80752530,0.3,,"645 Fort Street Suite 203 Victoria, BC V8W 1G2 Canada",www.aiml-innovations.com,+1 778-405-0882,info@aiml-innovations.com,Audited,01/31/2024 Quarterly Report,4/30,"Timothy Daniels (CFO), Paul Duffy (CEO), Bruce Allan Matichuk (CTO), David Cross (Accountant), Blake Fallis (Administrator)","Timothy Daniels, Bruce Allan Matichuk",2 as of 07/15/2021
AINDF,,,,,,,,,,,,,,,
AINHF,,,208985024,,,"Level 1, 103 Miller St North Sydney, NSW 2060 Australia",www.ai-media.tv,+61 2 8870 7722,sales@ai-media.tv,Audited,,6/30,,,
AINMF,14580704,Unlimited,68102308,,,"1655 Dupont Street Suite 101 Toronto, ON M6P3T1 Canada",www.netramark.com,+1 4036812549,investors@netramark.com,Audited,03/31/2024 Interim Financial Report,9/30,"George Achilleos (CEO), Josh Spiegel (President), Swapan Kakumanu (CFO), Joseph Geraci (Chief Scientific Officer), Matt Kell (Accountant), Monita Franziska Faris (Executive Assistant), Luca Pani (Chief Innovations Officer)","George Achilleos, Joseph Geraci, Sheetal Jaitly, Andrew Parks, Kevin Taylor",8 as of 05/22/2024
AINPF,,,,,,,,,,,,,,,
AINSF,205444340,,336794000,,,"10 Holker Street Newington, NSW 2127 Australia",www.agtslots.com,+61 (02) 9739 8000,,Audited,,6/30,,,
AIOM,14000,3000000000,140000000,,,"Room C, 15F, Ritz Plaza 122 Austin Road Kowloon, HK China",axiomholdings.info,+852 3798 3798,info@aiominc.com,Audited,03/31/2017,12/31,"Yang Baigui (CEO, President)","Yang Baigui, Yang Yunyong",47 as of 02/27/2017
AIOSF,,,,,,,,,,Audited,,,,,
AIPG,25655,600000000,1603413,0.1,,"50 West Liberty Suite 880 Reno, NV 89501",caiinc2007@163.com,+852 6700-5572,,Unaudited,03/31/2024 Quarterly Report,12/31,"Wan Jia Lin (CEO), Yuan Mei Lin (CFO), John Lawrence Thomas (Legal Counsel)","Wan Jia Lin, Yuan Mei Lin",0 as of 04/17/2024
AIPUF,2342854800,,1428570000,,,333 Moo 7 Cherdwutugard Road Srikan Don Muang Bangkok 10210 Thailand,www.airportthai.co.th,+66 (0) 2535 1192,aotpr@airportthai.co.th,Audited,,9/30,,"Sumet Photimanee, Sita Divari",
